'main' bucket:
    pypy2 (7.3.20)
    pypy3 (7.3.20)
    python (3.14.2)
    q (3.1.6)
    q-dns (0.19.11)
    qaac (2.85)
    qemu (10.1.0)
    qpdf (12.2.0)
    qr (1.0.0)
    qrcp (0.11.3)
    qrencode (4.1.1-4)
    qsv (11.0.2)
    qtifw (4.8.1)
    quarkus-cli (3.30.4)
    questdb (9.2.3)
    quick-lint-js (3.2.0)
    quickjs (2025-09-13)
    r (4.5.2)
    r128gain (1.0.7)
    racket (9.0)
    racket-minimal (9.0)
    radare2 (6.0.7)
    radius (0.54.0)
    rage (0.11.1)
    railway (4.16.1)
    rain (1.24.1)
    rainbow (1.2.1)
    rakudo-moar (2025.12-01)
    rakudo-star (2025.11-01)
    rancher-cli (2.13.1)
    rancher-compose (0.12.5)
    rathole (0.5.0)
    ravendb (7.1.1)
    rcc (17.18.0)
    rcedit (2.0.0)
    rclone (1.72.1)
    rdiff-backup (2.2.6)
    realcugan-ncnn-vulkan (20220728)
    realesrgan-ncnn-vulkan (0.2.0)
    realm (2.9.2)
    rebar3 (3.25.1)
    recmd (2.1.0)
    recycle-bin (2.0.0)
    red (16dec25)
    red-toolchain (16dec25)
    red-view (16dec25)
    redis (8.4.0)
    redpen (1.10.4)
    redshift (1.12)
    refreshenv (0.9.0)
